Noise	Error
0.02	0.014400576433133578
0.02	0.01427893638950812
0.02	0.014265341047016732
0.02	0.014246939376619899
0.02	0.014247125314092597
0.02	0.42577927276338146
0.02	0.014267182190881774
0.02	0.4257907355308321
0.02	0.4257907740708766
0.02	0.0143998708713807
0.02	0.014280790521895879
0.02	0.014399955187704405
0.02	0.014399746295879166
0.02	0.014399717438315031
0.02	0.4257910625116775
0.02	0.014399682995184116
0.02	0.4257912694652059
0.02	0.014401953205207225
0.02	0.014401916771222822
0.02	0.014402012414234848
0.02	0.014248029885969439
0.02	0.014338482939215294
0.02	0.01440199979244818
0.02	0.014401159330179686
0.02	0.014243076288501575
0.02	0.014400105394334787
0.02	0.014343993237288851
0.02	0.014279961299731093
0.02	0.014279262368412947
0.02	0.014402256818325585
0.02	0.014273127871292798
0.02	0.014399385116124137
0.02	0.014242335030499056
0.02	0.014400965768849465
0.02	0.01440062497623213
0.02	0.014247067708309928
0.02	0.014401970028684456
0.02	0.0144005801302834
0.02	0.014344971856851364
0.02	0.014401588466580845
0.02	0.4257887913679025
0.02	0.014269559323192817
0.02	0.01440183243835466
0.02	0.01427871966050837
0.02	0.014400195755410393
0.02	0.014239825039057895
0.02	0.01428130716128999
0.02	0.01440210230987648
0.02	0.42579113326896467
0.02	0.014400445252564398
0.02	0.4257887550667925
0.02	0.0144014060492078
0.02	0.014338954022144178
0.02	0.42579139863541243
0.02	0.42579061821642256
0.02	0.42579111080920345
0.02	0.014242416373644826
0.02	0.014338907740482347
0.02	0.014400735626357037
0.02	0.014250062344998968
0.02	0.42579102349969883
0.02	0.014243085100586897
0.02	0.014240240490456878
0.02	0.42578791927403886
0.02	0.014399904549410947
0.02	0.014275070669202734
0.02	0.01424410381057217
0.02	0.014402242895950006
0.02	0.014246295566293175
0.02	0.014401020796449053
0.02	0.4257915388985461
0.02	0.014402499862462994
0.02	0.014399035614253233
0.02	0.014399712472262353
0.02	0.014277394598859197
0.02	0.014276662676184998
0.02	0.014280175148970672
0.02	0.42579123009399955
0.02	0.014400489699701062
0.02	0.014399897811979569
0.02	0.014247822419235948
0.02	0.014400470558571136
